#options: 2520x1080 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=6 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=7000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:23.86 aq:17.05 tex:734316 mv:177048 misc:468 imb:10744 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:24.69 aq:17.94 tex:349944 mv:80944 misc:4160 imb:4526 pmb:5322 smb:896 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:24.69 aq:19.11 tex:127528 mv:72705 misc:8199 imb:1652 pmb:6022 smb:3070 d:s ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:24.69 aq:19.72 tex:59046 mv:52339 misc:9423 imb:997 pmb:5415 smb:4332 d:s ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:24.69 aq:19.55 tex:55033 mv:39601 misc:9998 imb:748 pmb:4015 smb:5981 d:- ref:0 ;
in:7 out:5 type:P dur:2 cpbdur:2 q:24.76 aq:17.75 tex:358961 mv:83873 misc:4382 imb:4238 pmb:5632 smb:874 d:- ref:0 ;
in:5 out:6 type:B dur:2 cpbdur:2 q:24.71 aq:19.52 tex:71538 mv:48111 misc:9535 imb:934 pmb:4634 smb:5176 d:s ref:0 ;
in:6 out:7 type:b dur:2 cpbdur:2 q:24.74 aq:19.79 tex:81037 mv:53564 misc:9783 imb:1250 pmb:4944 smb:4550 d:- ref:0 ;
in:11 out:8 type:P dur:2 cpbdur:2 q:24.93 aq:18.10 tex:371702 mv:85804 misc:4054 imb:4430 pmb:5547 smb:767 d:- ref:0 ;
in:9 out:9 type:B dur:2 cpbdur:2 q:24.84 aq:19.29 tex:112777 mv:70844 misc:8731 imb:1311 pmb:6208 smb:3225 d:s ref:0 ;
in:8 out:10 type:b dur:2 cpbdur:2 q:24.80 aq:20.24 tex:51635 mv:39908 misc:10025 imb:674 pmb:4528 smb:5542 d:s ref:0 ;
in:10 out:11 type:b dur:2 cpbdur:2 q:24.88 aq:20.10 tex:77199 mv:50300 misc:10157 imb:1008 pmb:4954 smb:4782 d:- ref:0 ;
in:15 out:12 type:P dur:2 cpbdur:2 q:24.99 aq:18.35 tex:371520 mv:85558 misc:3922 imb:4552 pmb:5481 smb:711 d:- ref:0 ;
in:13 out:13 type:B dur:2 cpbdur:2 q:24.96 aq:19.47 tex:122522 mv:72531 misc:8675 imb:1450 pmb:6080 smb:3214 d:s ref:0 ;
in:12 out:14 type:b dur:2 cpbdur:2 q:24.94 aq:20.28 tex:60417 mv:46167 misc:10104 imb:844 pmb:4923 smb:4977 d:s ref:0 ;
in:14 out:15 type:b dur:2 cpbdur:2 q:24.97 aq:20.15 tex:78618 mv:49625 misc:10133 imb:1002 pmb:5076 smb:4666 d:- ref:0 ;
in:19 out:16 type:P dur:2 cpbdur:2 q:25.05 aq:18.56 tex:357564 mv:81981 misc:4487 imb:4330 pmb:5436 smb:978 d:s ref:0 ;
in:17 out:17 type:B dur:2 cpbdur:2 q:25.02 aq:19.54 tex:126021 mv:71405 misc:8686 imb:1419 pmb:6126 smb:3199 d:s ref:0 ;
in:16 out:18 type:b dur:2 cpbdur:2 q:25.01 aq:20.15 tex:61321 mv:44178 misc:10077 imb:779 pmb:4800 smb:5165 d:s ref:0 ;
in:18 out:19 type:b dur:2 cpbdur:2 q:25.03 aq:19.96 tex:87450 mv:52763 misc:9907 imb:1088 pmb:5065 smb:4591 d:- ref:0 ;
in:22 out:20 type:P dur:2 cpbdur:2 q:29.05 aq:22.33 tex:151503 mv:49046 misc:8947 imb:2638 pmb:3439 smb:4667 d:s ref:0 ;
